question,answer,context
By what percentage did NVIDIA's revenue grow from 2023 to 2024? (Exam Q16),126%,"Revenue grew from $26.97 billion in 2023 to $60.9 billion in 2024, an increase of 126% driven by AI demand."
How much did Gaming revenue decline between 2022 and 2023? (Exam Q17),$4.0 billion,"Gaming revenue fell from $12.46 billion in 2022 to $8.46 billion in 2023, a $4.0 billion decline due to weaker demand."
What was NVIDIA’s Data Center revenue in fiscal 2025? (Exam Q18),$65.3 billion,"Data Center revenue in fiscal 2025 reached $65.3 billion, accounting for more than 80% of total revenue, fueled by AI adoption."
How many employees did NVIDIA have at the end of fiscal year 2024? (Exam Q19),"29,600","As of the end of fiscal year 2024, NVIDIA had approximately 29,600 employees worldwide, with most in research and development."
What was the market capitalization of NVIDIA as of July 2023? (Exam Q20),$1.1 trillion,"As of July 28, 2023, NVIDIA's market capitalization was approximately $1.1 trillion, based on the Nasdaq closing price."
What was NVIDIA's total revenue in fiscal year 2021? (Exam Q21),$16.68 billion,"In fiscal year 2021, NVIDIA reported revenue of $16.68 billion, reflecting growth driven by Gaming and Data Center platforms."
How much revenue did NVIDIA report in fiscal year 2022? (Exam Q22),$26.91 billion,"Revenue in fiscal year 2022 was $26.91 billion, up 61% from the prior year due to strong demand across Gaming and Data Center."
What was NVIDIA's reported revenue in fiscal year 2023? (Exam Q23),$26.97 billion,"In fiscal 2023, NVIDIA's revenue was $26.97 billion, largely flat year-over-year due to Gaming declines offset by Data Center growth."
What revenue did NVIDIA report for fiscal year 2024? (Exam Q24),$60.9 billion,"For fiscal 2024, NVIDIA's revenue rose to $60.9 billion, driven primarily by record growth in Data Center sales, particularly for AI workloads."
What was NVIDIA's revenue in fiscal year 2025? (Exam Q25),$79.8 billion,"NVIDIA reported revenue of $79.8 billion in fiscal year 2025, with Data Center contributing over 80% of total revenue."
By what percentage did NVIDIA's revenue grow from 2023 to 2024? (Exam Q26),126%,"Revenue grew from $26.97 billion in 2023 to $60.9 billion in 2024, an increase of 126% driven by AI demand."
How much did Gaming revenue decline between 2022 and 2023? (Exam Q27),$4.0 billion,"Gaming revenue fell from $12.46 billion in 2022 to $8.46 billion in 2023, a $4.0 billion decline due to weaker demand."
What was NVIDIA’s Data Center revenue in fiscal 2025? (Exam Q28),$65.3 billion,"Data Center revenue in fiscal 2025 reached $65.3 billion, accounting for more than 80% of total revenue, fueled by AI adoption."
How many employees did NVIDIA have at the end of fiscal year 2024? (Exam Q29),"29,600","As of the end of fiscal year 2024, NVIDIA had approximately 29,600 employees worldwide, with most in research and development."
What was the market capitalization of NVIDIA as of July 2023? (Exam Q30),$1.1 trillion,"As of July 28, 2023, NVIDIA's market capitalization was approximately $1.1 trillion, based on the Nasdaq closing price."
What was NVIDIA's total revenue in fiscal year 2021? (Exam Q31),$16.68 billion,"In fiscal year 2021, NVIDIA reported revenue of $16.68 billion, reflecting growth driven by Gaming and Data Center platforms."
How much revenue did NVIDIA report in fiscal year 2022? (Exam Q32),$26.91 billion,"Revenue in fiscal year 2022 was $26.91 billion, up 61% from the prior year due to strong demand across Gaming and Data Center."
What was NVIDIA's reported revenue in fiscal year 2023? (Exam Q33),$26.97 billion,"In fiscal 2023, NVIDIA's revenue was $26.97 billion, largely flat year-over-year due to Gaming declines offset by Data Center growth."
What revenue did NVIDIA report for fiscal year 2024? (Exam Q34),$60.9 billion,"For fiscal 2024, NVIDIA's revenue rose to $60.9 billion, driven primarily by record growth in Data Center sales, particularly for AI workloads."
What was NVIDIA's revenue in fiscal year 2025? (Exam Q35),$79.8 billion,"NVIDIA reported revenue of $79.8 billion in fiscal year 2025, with Data Center contributing over 80% of total revenue."
By what percentage did NVIDIA's revenue grow from 2023 to 2024? (Exam Q36),126%,"Revenue grew from $26.97 billion in 2023 to $60.9 billion in 2024, an increase of 126% driven by AI demand."
How much did Gaming revenue decline between 2022 and 2023? (Exam Q37),$4.0 billion,"Gaming revenue fell from $12.46 billion in 2022 to $8.46 billion in 2023, a $4.0 billion decline due to weaker demand."
What was NVIDIA’s Data Center revenue in fiscal 2025? (Exam Q38),$65.3 billion,"Data Center revenue in fiscal 2025 reached $65.3 billion, accounting for more than 80% of total revenue, fueled by AI adoption."
How many employees did NVIDIA have at the end of fiscal year 2024? (Exam Q39),"29,600","As of the end of fiscal year 2024, NVIDIA had approximately 29,600 employees worldwide, with most in research and development."
What was the market capitalization of NVIDIA as of July 2023? (Exam Q40),$1.1 trillion,"As of July 28, 2023, NVIDIA's market capitalization was approximately $1.1 trillion, based on the Nasdaq closing price."
What was NVIDIA's total revenue in fiscal year 2021? (Exam Q41),$16.68 billion,"In fiscal year 2021, NVIDIA reported revenue of $16.68 billion, reflecting growth driven by Gaming and Data Center platforms."
How much revenue did NVIDIA report in fiscal year 2022? (Exam Q42),$26.91 billion,"Revenue in fiscal year 2022 was $26.91 billion, up 61% from the prior year due to strong demand across Gaming and Data Center."
What was NVIDIA's reported revenue in fiscal year 2023? (Exam Q43),$26.97 billion,"In fiscal 2023, NVIDIA's revenue was $26.97 billion, largely flat year-over-year due to Gaming declines offset by Data Center growth."
What revenue did NVIDIA report for fiscal year 2024? (Exam Q44),$60.9 billion,"For fiscal 2024, NVIDIA's revenue rose to $60.9 billion, driven primarily by record growth in Data Center sales, particularly for AI workloads."
What was NVIDIA's revenue in fiscal year 2025? (Exam Q45),$79.8 billion,"NVIDIA reported revenue of $79.8 billion in fiscal year 2025, with Data Center contributing over 80% of total revenue."
By what percentage did NVIDIA's revenue grow from 2023 to 2024? (Exam Q46),126%,"Revenue grew from $26.97 billion in 2023 to $60.9 billion in 2024, an increase of 126% driven by AI demand."
How much did Gaming revenue decline between 2022 and 2023? (Exam Q47),$4.0 billion,"Gaming revenue fell from $12.46 billion in 2022 to $8.46 billion in 2023, a $4.0 billion decline due to weaker demand."
What was NVIDIA’s Data Center revenue in fiscal 2025? (Exam Q48),$65.3 billion,"Data Center revenue in fiscal 2025 reached $65.3 billion, accounting for more than 80% of total revenue, fueled by AI adoption."
How many employees did NVIDIA have at the end of fiscal year 2024? (Exam Q49),"29,600","As of the end of fiscal year 2024, NVIDIA had approximately 29,600 employees worldwide, with most in research and development."
What was the market capitalization of NVIDIA as of July 2023? (Exam Q50),$1.1 trillion,"As of July 28, 2023, NVIDIA's market capitalization was approximately $1.1 trillion, based on the Nasdaq closing price."
What was NVIDIA's total revenue in fiscal year 2021? (Exam Q51),$16.68 billion,"In fiscal year 2021, NVIDIA reported revenue of $16.68 billion, reflecting growth driven by Gaming and Data Center platforms."
How much revenue did NVIDIA report in fiscal year 2022? (Exam Q52),$26.91 billion,"Revenue in fiscal year 2022 was $26.91 billion, up 61% from the prior year due to strong demand across Gaming and Data Center."
What was NVIDIA's reported revenue in fiscal year 2023? (Exam Q53),$26.97 billion,"In fiscal 2023, NVIDIA's revenue was $26.97 billion, largely flat year-over-year due to Gaming declines offset by Data Center growth."
What revenue did NVIDIA report for fiscal year 2024? (Exam Q54),$60.9 billion,"For fiscal 2024, NVIDIA's revenue rose to $60.9 billion, driven primarily by record growth in Data Center sales, particularly for AI workloads."
What was NVIDIA's revenue in fiscal year 2025? (Exam Q55),$79.8 billion,"NVIDIA reported revenue of $79.8 billion in fiscal year 2025, with Data Center contributing over 80% of total revenue."
By what percentage did NVIDIA's revenue grow from 2023 to 2024? (Exam Q56),126%,"Revenue grew from $26.97 billion in 2023 to $60.9 billion in 2024, an increase of 126% driven by AI demand."
How much did Gaming revenue decline between 2022 and 2023? (Exam Q57),$4.0 billion,"Gaming revenue fell from $12.46 billion in 2022 to $8.46 billion in 2023, a $4.0 billion decline due to weaker demand."
What was NVIDIA’s Data Center revenue in fiscal 2025? (Exam Q58),$65.3 billion,"Data Center revenue in fiscal 2025 reached $65.3 billion, accounting for more than 80% of total revenue, fueled by AI adoption."
How many employees did NVIDIA have at the end of fiscal year 2024? (Exam Q59),"29,600","As of the end of fiscal year 2024, NVIDIA had approximately 29,600 employees worldwide, with most in research and development."
What was the market capitalization of NVIDIA as of July 2023? (Exam Q60),$1.1 trillion,"As of July 28, 2023, NVIDIA's market capitalization was approximately $1.1 trillion, based on the Nasdaq closing price."
What was NVIDIA's total revenue in fiscal year 2021? (Exam Q61),$16.68 billion,"In fiscal year 2021, NVIDIA reported revenue of $16.68 billion, reflecting growth driven by Gaming and Data Center platforms."
How much revenue did NVIDIA report in fiscal year 2022? (Exam Q62),$26.91 billion,"Revenue in fiscal year 2022 was $26.91 billion, up 61% from the prior year due to strong demand across Gaming and Data Center."
What was NVIDIA's reported revenue in fiscal year 2023? (Exam Q63),$26.97 billion,"In fiscal 2023, NVIDIA's revenue was $26.97 billion, largely flat year-over-year due to Gaming declines offset by Data Center growth."
What revenue did NVIDIA report for fiscal year 2024? (Exam Q64),$60.9 billion,"For fiscal 2024, NVIDIA's revenue rose to $60.9 billion, driven primarily by record growth in Data Center sales, particularly for AI workloads."
What was NVIDIA's revenue in fiscal year 2025? (Exam Q65),$79.8 billion,"NVIDIA reported revenue of $79.8 billion in fiscal year 2025, with Data Center contributing over 80% of total revenue."
By what percentage did NVIDIA's revenue grow from 2023 to 2024? (Exam Q66),126%,"Revenue grew from $26.97 billion in 2023 to $60.9 billion in 2024, an increase of 126% driven by AI demand."
How much did Gaming revenue decline between 2022 and 2023? (Exam Q67),$4.0 billion,"Gaming revenue fell from $12.46 billion in 2022 to $8.46 billion in 2023, a $4.0 billion decline due to weaker demand."
What was NVIDIA’s Data Center revenue in fiscal 2025? (Exam Q68),$65.3 billion,"Data Center revenue in fiscal 2025 reached $65.3 billion, accounting for more than 80% of total revenue, fueled by AI adoption."
How many employees did NVIDIA have at the end of fiscal year 2024? (Exam Q69),"29,600","As of the end of fiscal year 2024, NVIDIA had approximately 29,600 employees worldwide, with most in research and development."
What was the market capitalization of NVIDIA as of July 2023? (Exam Q70),$1.1 trillion,"As of July 28, 2023, NVIDIA's market capitalization was approximately $1.1 trillion, based on the Nasdaq closing price."
What was NVIDIA's total revenue in fiscal year 2021? (Exam Q71),$16.68 billion,"In fiscal year 2021, NVIDIA reported revenue of $16.68 billion, reflecting growth driven by Gaming and Data Center platforms."
How much revenue did NVIDIA report in fiscal year 2022? (Exam Q72),$26.91 billion,"Revenue in fiscal year 2022 was $26.91 billion, up 61% from the prior year due to strong demand across Gaming and Data Center."
What was NVIDIA's reported revenue in fiscal year 2023? (Exam Q73),$26.97 billion,"In fiscal 2023, NVIDIA's revenue was $26.97 billion, largely flat year-over-year due to Gaming declines offset by Data Center growth."
What revenue did NVIDIA report for fiscal year 2024? (Exam Q74),$60.9 billion,"For fiscal 2024, NVIDIA's revenue rose to $60.9 billion, driven primarily by record growth in Data Center sales, particularly for AI workloads."
What was NVIDIA's revenue in fiscal year 2025? (Exam Q75),$79.8 billion,"NVIDIA reported revenue of $79.8 billion in fiscal year 2025, with Data Center contributing over 80% of total revenue."
By what percentage did NVIDIA's revenue grow from 2023 to 2024? (Exam Q76),126%,"Revenue grew from $26.97 billion in 2023 to $60.9 billion in 2024, an increase of 126% driven by AI demand."
How much did Gaming revenue decline between 2022 and 2023? (Exam Q77),$4.0 billion,"Gaming revenue fell from $12.46 billion in 2022 to $8.46 billion in 2023, a $4.0 billion decline due to weaker demand."
What was NVIDIA’s Data Center revenue in fiscal 2025? (Exam Q78),$65.3 billion,"Data Center revenue in fiscal 2025 reached $65.3 billion, accounting for more than 80% of total revenue, fueled by AI adoption."
How many employees did NVIDIA have at the end of fiscal year 2024? (Exam Q79),"29,600","As of the end of fiscal year 2024, NVIDIA had approximately 29,600 employees worldwide, with most in research and development."
What was the market capitalization of NVIDIA as of July 2023? (Exam Q80),$1.1 trillion,"As of July 28, 2023, NVIDIA's market capitalization was approximately $1.1 trillion, based on the Nasdaq closing price."
What was NVIDIA's total revenue in fiscal year 2021? (Exam Q81),$16.68 billion,"In fiscal year 2021, NVIDIA reported revenue of $16.68 billion, reflecting growth driven by Gaming and Data Center platforms."
How much revenue did NVIDIA report in fiscal year 2022? (Exam Q82),$26.91 billion,"Revenue in fiscal year 2022 was $26.91 billion, up 61% from the prior year due to strong demand across Gaming and Data Center."
What was NVIDIA's reported revenue in fiscal year 2023? (Exam Q83),$26.97 billion,"In fiscal 2023, NVIDIA's revenue was $26.97 billion, largely flat year-over-year due to Gaming declines offset by Data Center growth."
What revenue did NVIDIA report for fiscal year 2024? (Exam Q84),$60.9 billion,"For fiscal 2024, NVIDIA's revenue rose to $60.9 billion, driven primarily by record growth in Data Center sales, particularly for AI workloads."
What was NVIDIA's revenue in fiscal year 2025? (Exam Q85),$79.8 billion,"NVIDIA reported revenue of $79.8 billion in fiscal year 2025, with Data Center contributing over 80% of total revenue."
By what percentage did NVIDIA's revenue grow from 2023 to 2024? (Exam Q86),126%,"Revenue grew from $26.97 billion in 2023 to $60.9 billion in 2024, an increase of 126% driven by AI demand."
How much did Gaming revenue decline between 2022 and 2023? (Exam Q87),$4.0 billion,"Gaming revenue fell from $12.46 billion in 2022 to $8.46 billion in 2023, a $4.0 billion decline due to weaker demand."
What was NVIDIA’s Data Center revenue in fiscal 2025? (Exam Q88),$65.3 billion,"Data Center revenue in fiscal 2025 reached $65.3 billion, accounting for more than 80% of total revenue, fueled by AI adoption."
How many employees did NVIDIA have at the end of fiscal year 2024? (Exam Q89),"29,600","As of the end of fiscal year 2024, NVIDIA had approximately 29,600 employees worldwide, with most in research and development."
What was the market capitalization of NVIDIA as of July 2023? (Exam Q90),$1.1 trillion,"As of July 28, 2023, NVIDIA's market capitalization was approximately $1.1 trillion, based on the Nasdaq closing price."
What was NVIDIA's total revenue in fiscal year 2021? (Exam Q91),$16.68 billion,"In fiscal year 2021, NVIDIA reported revenue of $16.68 billion, reflecting growth driven by Gaming and Data Center platforms."
How much revenue did NVIDIA report in fiscal year 2022? (Exam Q92),$26.91 billion,"Revenue in fiscal year 2022 was $26.91 billion, up 61% from the prior year due to strong demand across Gaming and Data Center."
What was NVIDIA's reported revenue in fiscal year 2023? (Exam Q93),$26.97 billion,"In fiscal 2023, NVIDIA's revenue was $26.97 billion, largely flat year-over-year due to Gaming declines offset by Data Center growth."
What revenue did NVIDIA report for fiscal year 2024? (Exam Q94),$60.9 billion,"For fiscal 2024, NVIDIA's revenue rose to $60.9 billion, driven primarily by record growth in Data Center sales, particularly for AI workloads."
What was NVIDIA's revenue in fiscal year 2025? (Exam Q95),$79.8 billion,"NVIDIA reported revenue of $79.8 billion in fiscal year 2025, with Data Center contributing over 80% of total revenue."
By what percentage did NVIDIA's revenue grow from 2023 to 2024? (Exam Q96),126%,"Revenue grew from $26.97 billion in 2023 to $60.9 billion in 2024, an increase of 126% driven by AI demand."
How much did Gaming revenue decline between 2022 and 2023? (Exam Q97),$4.0 billion,"Gaming revenue fell from $12.46 billion in 2022 to $8.46 billion in 2023, a $4.0 billion decline due to weaker demand."
What was NVIDIA’s Data Center revenue in fiscal 2025? (Exam Q98),$65.3 billion,"Data Center revenue in fiscal 2025 reached $65.3 billion, accounting for more than 80% of total revenue, fueled by AI adoption."
How many employees did NVIDIA have at the end of fiscal year 2024? (Exam Q99),"29,600","As of the end of fiscal year 2024, NVIDIA had approximately 29,600 employees worldwide, with most in research and development."
What was the market capitalization of NVIDIA as of July 2023? (Exam Q100),$1.1 trillion,"As of July 28, 2023, NVIDIA's market capitalization was approximately $1.1 trillion, based on the Nasdaq closing price."
