question,answer,context
[Medium Q17] What was NVIDIA's market capitalization in July 2022?,$448 billion,Market capitalization reached $448 billion in July 2022.
[Medium Q18] What was NVIDIA's market capitalization in July 2023?,$1.1 trillion,"By July 2023, NVIDIA's market capitalization was around $1.1 trillion."
[Medium Q19] What was NVIDIA's market capitalization in July 2024?,$1.6 trillion,Market capitalization rose to $1.6 trillion by mid-2024.
[Medium Q20] What was NVIDIA's market capitalization in July 2025?,$2.0 trillion,"By July 2025, NVIDIA's market capitalization reached $2.0 trillion."
[Medium Q21] What was NVIDIA's gross margin in fiscal 2021?,62.3%,"Gross margin for fiscal 2021 was 62.3%, reflecting strong pricing power."
[Medium Q22] What was NVIDIA's gross margin in fiscal 2022?,64.9%,"In fiscal 2022, gross margin was 64.9%, benefiting from product mix."
[Medium Q23] What was NVIDIA's gross margin in fiscal 2023?,56.9%,Gross margin fell to 56.9% in 2023 due to inventory charges and Gaming weakness.
[Medium Q24] What was NVIDIA's gross margin in fiscal 2024?,72.7%,"Gross margin expanded to 72.7% in 2024, a record level driven by AI Data Center sales."
[Medium Q25] What was NVIDIA's gross margin in fiscal 2025?,75.1%,"Gross margin in 2025 rose to 75.1%, supported by high-value AI GPUs."
[Medium Q26] How much did NVIDIA spend on R&D in 2021?,$3.92 billion,NVIDIA spent $3.92 billion on research and development in 2021.
[Medium Q27] How much did NVIDIA spend on R&D in 2022?,$5.27 billion,Research and development expense was $5.27 billion in 2022.
[Medium Q28] How much did NVIDIA spend on R&D in 2023?,$7.34 billion,R&D spending increased to $7.34 billion in 2023.
[Medium Q29] How much did NVIDIA spend on R&D in 2024?,$8.68 billion,"R&D expense reached $8.68 billion in 2024, reflecting investments in AI and CPUs."
[Medium Q30] How much did NVIDIA spend on R&D in 2025?,$10.5 billion,"In fiscal 2025, R&D spending grew to $10.5 billion to support new platforms."
[Medium Q31] How many employees did NVIDIA have in 2021?,"18,975","NVIDIA employed 18,975 people in fiscal 2021."
[Medium Q32] How many employees did NVIDIA have in 2022?,"22,473","By fiscal 2022, NVIDIA's headcount rose to 22,473 employees."
[Medium Q33] How many employees did NVIDIA have in 2023?,"26,196","The workforce expanded to 26,196 employees in 2023."
[Medium Q34] How many employees did NVIDIA have in 2024?,"29,600","Headcount grew to 29,600 employees in 2024, with most in R&D roles."
[Medium Q35] How many employees did NVIDIA have in 2025?,"29,800","By 2025, NVIDIA's workforce was approximately 29,800 employees."
[Medium Q36] What was NVIDIA's market capitalization in July 2021?,$390 billion,"As of July 2021, NVIDIA's market capitalization was approximately $390 billion."
[Medium Q37] What was NVIDIA's market capitalization in July 2022?,$448 billion,Market capitalization reached $448 billion in July 2022.
[Medium Q38] What was NVIDIA's market capitalization in July 2023?,$1.1 trillion,"By July 2023, NVIDIA's market capitalization was around $1.1 trillion."
[Medium Q39] What was NVIDIA's market capitalization in July 2024?,$1.6 trillion,Market capitalization rose to $1.6 trillion by mid-2024.
[Medium Q40] What was NVIDIA's market capitalization in July 2025?,$2.0 trillion,"By July 2025, NVIDIA's market capitalization reached $2.0 trillion."
[Medium Q41] What was NVIDIA's gross margin in fiscal 2021?,62.3%,"Gross margin for fiscal 2021 was 62.3%, reflecting strong pricing power."
[Medium Q42] What was NVIDIA's gross margin in fiscal 2022?,64.9%,"In fiscal 2022, gross margin was 64.9%, benefiting from product mix."
[Medium Q43] What was NVIDIA's gross margin in fiscal 2023?,56.9%,Gross margin fell to 56.9% in 2023 due to inventory charges and Gaming weakness.
[Medium Q44] What was NVIDIA's gross margin in fiscal 2024?,72.7%,"Gross margin expanded to 72.7% in 2024, a record level driven by AI Data Center sales."
[Medium Q45] What was NVIDIA's gross margin in fiscal 2025?,75.1%,"Gross margin in 2025 rose to 75.1%, supported by high-value AI GPUs."
[Medium Q46] How much did NVIDIA spend on R&D in 2021?,$3.92 billion,NVIDIA spent $3.92 billion on research and development in 2021.
[Medium Q47] How much did NVIDIA spend on R&D in 2022?,$5.27 billion,Research and development expense was $5.27 billion in 2022.
[Medium Q48] How much did NVIDIA spend on R&D in 2023?,$7.34 billion,R&D spending increased to $7.34 billion in 2023.
[Medium Q49] How much did NVIDIA spend on R&D in 2024?,$8.68 billion,"R&D expense reached $8.68 billion in 2024, reflecting investments in AI and CPUs."
[Medium Q50] How much did NVIDIA spend on R&D in 2025?,$10.5 billion,"In fiscal 2025, R&D spending grew to $10.5 billion to support new platforms."
[Medium Q51] How many employees did NVIDIA have in 2021?,"18,975","NVIDIA employed 18,975 people in fiscal 2021."
[Medium Q52] How many employees did NVIDIA have in 2022?,"22,473","By fiscal 2022, NVIDIA's headcount rose to 22,473 employees."
[Medium Q53] How many employees did NVIDIA have in 2023?,"26,196","The workforce expanded to 26,196 employees in 2023."
[Medium Q54] How many employees did NVIDIA have in 2024?,"29,600","Headcount grew to 29,600 employees in 2024, with most in R&D roles."
[Medium Q55] How many employees did NVIDIA have in 2025?,"29,800","By 2025, NVIDIA's workforce was approximately 29,800 employees."
[Medium Q56] What was NVIDIA's market capitalization in July 2021?,$390 billion,"As of July 2021, NVIDIA's market capitalization was approximately $390 billion."
[Medium Q57] What was NVIDIA's market capitalization in July 2022?,$448 billion,Market capitalization reached $448 billion in July 2022.
[Medium Q58] What was NVIDIA's market capitalization in July 2023?,$1.1 trillion,"By July 2023, NVIDIA's market capitalization was around $1.1 trillion."
[Medium Q59] What was NVIDIA's market capitalization in July 2024?,$1.6 trillion,Market capitalization rose to $1.6 trillion by mid-2024.
[Medium Q60] What was NVIDIA's market capitalization in July 2025?,$2.0 trillion,"By July 2025, NVIDIA's market capitalization reached $2.0 trillion."
[Medium Q61] What was NVIDIA's gross margin in fiscal 2021?,62.3%,"Gross margin for fiscal 2021 was 62.3%, reflecting strong pricing power."
[Medium Q62] What was NVIDIA's gross margin in fiscal 2022?,64.9%,"In fiscal 2022, gross margin was 64.9%, benefiting from product mix."
[Medium Q63] What was NVIDIA's gross margin in fiscal 2023?,56.9%,Gross margin fell to 56.9% in 2023 due to inventory charges and Gaming weakness.
[Medium Q64] What was NVIDIA's gross margin in fiscal 2024?,72.7%,"Gross margin expanded to 72.7% in 2024, a record level driven by AI Data Center sales."
[Medium Q65] What was NVIDIA's gross margin in fiscal 2025?,75.1%,"Gross margin in 2025 rose to 75.1%, supported by high-value AI GPUs."
[Medium Q66] How much did NVIDIA spend on R&D in 2021?,$3.92 billion,NVIDIA spent $3.92 billion on research and development in 2021.
[Medium Q67] How much did NVIDIA spend on R&D in 2022?,$5.27 billion,Research and development expense was $5.27 billion in 2022.
[Medium Q68] How much did NVIDIA spend on R&D in 2023?,$7.34 billion,R&D spending increased to $7.34 billion in 2023.
[Medium Q69] How much did NVIDIA spend on R&D in 2024?,$8.68 billion,"R&D expense reached $8.68 billion in 2024, reflecting investments in AI and CPUs."
[Medium Q70] How much did NVIDIA spend on R&D in 2025?,$10.5 billion,"In fiscal 2025, R&D spending grew to $10.5 billion to support new platforms."
[Medium Q71] How many employees did NVIDIA have in 2021?,"18,975","NVIDIA employed 18,975 people in fiscal 2021."
[Medium Q72] How many employees did NVIDIA have in 2022?,"22,473","By fiscal 2022, NVIDIA's headcount rose to 22,473 employees."
[Medium Q73] How many employees did NVIDIA have in 2023?,"26,196","The workforce expanded to 26,196 employees in 2023."
[Medium Q74] How many employees did NVIDIA have in 2024?,"29,600","Headcount grew to 29,600 employees in 2024, with most in R&D roles."
[Medium Q75] How many employees did NVIDIA have in 2025?,"29,800","By 2025, NVIDIA's workforce was approximately 29,800 employees."
[Medium Q76] What was NVIDIA's market capitalization in July 2021?,$390 billion,"As of July 2021, NVIDIA's market capitalization was approximately $390 billion."
[Medium Q77] What was NVIDIA's market capitalization in July 2022?,$448 billion,Market capitalization reached $448 billion in July 2022.
[Medium Q78] What was NVIDIA's market capitalization in July 2023?,$1.1 trillion,"By July 2023, NVIDIA's market capitalization was around $1.1 trillion."
[Medium Q79] What was NVIDIA's market capitalization in July 2024?,$1.6 trillion,Market capitalization rose to $1.6 trillion by mid-2024.
[Medium Q80] What was NVIDIA's market capitalization in July 2025?,$2.0 trillion,"By July 2025, NVIDIA's market capitalization reached $2.0 trillion."
[Medium Q81] What was NVIDIA's gross margin in fiscal 2021?,62.3%,"Gross margin for fiscal 2021 was 62.3%, reflecting strong pricing power."
[Medium Q82] What was NVIDIA's gross margin in fiscal 2022?,64.9%,"In fiscal 2022, gross margin was 64.9%, benefiting from product mix."
[Medium Q83] What was NVIDIA's gross margin in fiscal 2023?,56.9%,Gross margin fell to 56.9% in 2023 due to inventory charges and Gaming weakness.
[Medium Q84] What was NVIDIA's gross margin in fiscal 2024?,72.7%,"Gross margin expanded to 72.7% in 2024, a record level driven by AI Data Center sales."
[Medium Q85] What was NVIDIA's gross margin in fiscal 2025?,75.1%,"Gross margin in 2025 rose to 75.1%, supported by high-value AI GPUs."
[Medium Q86] How much did NVIDIA spend on R&D in 2021?,$3.92 billion,NVIDIA spent $3.92 billion on research and development in 2021.
[Medium Q87] How much did NVIDIA spend on R&D in 2022?,$5.27 billion,Research and development expense was $5.27 billion in 2022.
[Medium Q88] How much did NVIDIA spend on R&D in 2023?,$7.34 billion,R&D spending increased to $7.34 billion in 2023.
[Medium Q89] How much did NVIDIA spend on R&D in 2024?,$8.68 billion,"R&D expense reached $8.68 billion in 2024, reflecting investments in AI and CPUs."
[Medium Q90] How much did NVIDIA spend on R&D in 2025?,$10.5 billion,"In fiscal 2025, R&D spending grew to $10.5 billion to support new platforms."
[Medium Q91] How many employees did NVIDIA have in 2021?,"18,975","NVIDIA employed 18,975 people in fiscal 2021."
[Medium Q92] How many employees did NVIDIA have in 2022?,"22,473","By fiscal 2022, NVIDIA's headcount rose to 22,473 employees."
[Medium Q93] How many employees did NVIDIA have in 2023?,"26,196","The workforce expanded to 26,196 employees in 2023."
[Medium Q94] How many employees did NVIDIA have in 2024?,"29,600","Headcount grew to 29,600 employees in 2024, with most in R&D roles."
[Medium Q95] How many employees did NVIDIA have in 2025?,"29,800","By 2025, NVIDIA's workforce was approximately 29,800 employees."
[Medium Q96] What was NVIDIA's market capitalization in July 2021?,$390 billion,"As of July 2021, NVIDIA's market capitalization was approximately $390 billion."
[Medium Q97] What was NVIDIA's market capitalization in July 2022?,$448 billion,Market capitalization reached $448 billion in July 2022.
[Medium Q98] What was NVIDIA's market capitalization in July 2023?,$1.1 trillion,"By July 2023, NVIDIA's market capitalization was around $1.1 trillion."
[Medium Q99] What was NVIDIA's market capitalization in July 2024?,$1.6 trillion,Market capitalization rose to $1.6 trillion by mid-2024.
[Medium Q100] What was NVIDIA's market capitalization in July 2025?,$2.0 trillion,"By July 2025, NVIDIA's market capitalization reached $2.0 trillion."
