question,answer,context
[Easy Q51] How much revenue did NVIDIA's Gaming segment contribute in 2021?,$7.76 billion,"Gaming revenue was $7.76 billion in 2021, making it the largest segment at the time."
[Easy Q52] What was Data Center revenue in 2021?,$6.7 billion,"Data Center revenue in fiscal 2021 reached $6.7 billion, reflecting growing AI adoption."
[Easy Q53] What was Gaming revenue in 2022?,$12.46 billion,"Gaming revenue rose to $12.46 billion in 2022, boosted by strong GPU demand."
[Easy Q54] What was Data Center revenue in 2022?,$10.6 billion,"Data Center revenue grew to $10.6 billion in 2022, making it the fastest-growing segment."
[Easy Q55] What was Gaming revenue in 2023?,$8.46 billion,Gaming revenue fell to $8.46 billion in 2023 due to lower demand and channel corrections.
[Easy Q56] What was Data Center revenue in 2023?,$15.0 billion,"Data Center revenue increased to $15.0 billion in 2023, offsetting Gaming weakness."
[Easy Q57] What was Gaming revenue in 2024?,$9.0 billion,"Gaming revenue reached $9.0 billion in 2024, recovering modestly from the prior year."
[Easy Q58] What was Data Center revenue in 2024?,$47.5 billion,"Data Center revenue skyrocketed to $47.5 billion in 2024, driven by AI workloads."
[Easy Q59] What was Gaming revenue in 2025?,$10.4 billion,"Gaming revenue increased to $10.4 billion in 2025, reflecting stronger GPU adoption."
[Easy Q60] What was Data Center revenue in 2025?,$65.3 billion,"Data Center revenue in 2025 was $65.3 billion, over 80% of total revenue."
[Easy Q61] What was NVIDIA's total revenue in fiscal year 2021?,$16.68 billion,"NVIDIA reported $16.68 billion in revenue in fiscal year 2021, driven by Gaming and Data Center growth."
[Easy Q62] What was NVIDIA's revenue in fiscal year 2022?,$26.91 billion,"Revenue for fiscal 2022 was $26.91 billion, reflecting a 61% increase year-over-year."
[Easy Q63] What was NVIDIA's revenue in fiscal year 2023?,$26.97 billion,"In fiscal 2023, revenue was $26.97 billion, nearly flat from 2022 due to Gaming declines offset by Data Center growth."
[Easy Q64] What was NVIDIA's revenue in fiscal year 2024?,$60.9 billion,"Fiscal 2024 revenue surged to $60.9 billion, primarily from Data Center demand for AI workloads."
[Easy Q65] What was NVIDIA's revenue in fiscal year 2025?,$79.8 billion,"In fiscal 2025, NVIDIA reported $79.8 billion in revenue, with Data Center accounting for the majority."
[Easy Q66] What was NVIDIA's net income in fiscal 2021?,$4.33 billion,"NVIDIA earned net income of $4.33 billion in fiscal 2021, reflecting profitability growth from higher margins."
[Easy Q67] What was NVIDIA's net income in fiscal 2022?,$9.75 billion,"Net income reached $9.75 billion in fiscal 2022, supported by strong revenue growth."
[Easy Q68] What was NVIDIA's net income in fiscal 2023?,$4.37 billion,"Net income declined to $4.37 billion in fiscal 2023, primarily due to gaming revenue weakness."
[Easy Q69] What was NVIDIA's net income in fiscal 2024?,$29.8 billion,"NVIDIA achieved record net income of $29.8 billion in fiscal 2024, fueled by AI demand."
[Easy Q70] What was NVIDIA's net income in fiscal 2025?,$31.4 billion,"Net income increased to $31.4 billion in fiscal 2025, supported by Data Center growth."
[Easy Q71] How much revenue did NVIDIA's Gaming segment contribute in 2021?,$7.76 billion,"Gaming revenue was $7.76 billion in 2021, making it the largest segment at the time."
[Easy Q72] What was Data Center revenue in 2021?,$6.7 billion,"Data Center revenue in fiscal 2021 reached $6.7 billion, reflecting growing AI adoption."
[Easy Q73] What was Gaming revenue in 2022?,$12.46 billion,"Gaming revenue rose to $12.46 billion in 2022, boosted by strong GPU demand."
[Easy Q74] What was Data Center revenue in 2022?,$10.6 billion,"Data Center revenue grew to $10.6 billion in 2022, making it the fastest-growing segment."
[Easy Q75] What was Gaming revenue in 2023?,$8.46 billion,Gaming revenue fell to $8.46 billion in 2023 due to lower demand and channel corrections.
[Easy Q76] What was Data Center revenue in 2023?,$15.0 billion,"Data Center revenue increased to $15.0 billion in 2023, offsetting Gaming weakness."
[Easy Q77] What was Gaming revenue in 2024?,$9.0 billion,"Gaming revenue reached $9.0 billion in 2024, recovering modestly from the prior year."
[Easy Q78] What was Data Center revenue in 2024?,$47.5 billion,"Data Center revenue skyrocketed to $47.5 billion in 2024, driven by AI workloads."
[Easy Q79] What was Gaming revenue in 2025?,$10.4 billion,"Gaming revenue increased to $10.4 billion in 2025, reflecting stronger GPU adoption."
[Easy Q80] What was Data Center revenue in 2025?,$65.3 billion,"Data Center revenue in 2025 was $65.3 billion, over 80% of total revenue."
[Easy Q81] What was NVIDIA's total revenue in fiscal year 2021?,$16.68 billion,"NVIDIA reported $16.68 billion in revenue in fiscal year 2021, driven by Gaming and Data Center growth."
[Easy Q82] What was NVIDIA's revenue in fiscal year 2022?,$26.91 billion,"Revenue for fiscal 2022 was $26.91 billion, reflecting a 61% increase year-over-year."
[Easy Q83] What was NVIDIA's revenue in fiscal year 2023?,$26.97 billion,"In fiscal 2023, revenue was $26.97 billion, nearly flat from 2022 due to Gaming declines offset by Data Center growth."
[Easy Q84] What was NVIDIA's revenue in fiscal year 2024?,$60.9 billion,"Fiscal 2024 revenue surged to $60.9 billion, primarily from Data Center demand for AI workloads."
[Easy Q85] What was NVIDIA's revenue in fiscal year 2025?,$79.8 billion,"In fiscal 2025, NVIDIA reported $79.8 billion in revenue, with Data Center accounting for the majority."
[Easy Q86] What was NVIDIA's net income in fiscal 2021?,$4.33 billion,"NVIDIA earned net income of $4.33 billion in fiscal 2021, reflecting profitability growth from higher margins."
[Easy Q87] What was NVIDIA's net income in fiscal 2022?,$9.75 billion,"Net income reached $9.75 billion in fiscal 2022, supported by strong revenue growth."
[Easy Q88] What was NVIDIA's net income in fiscal 2023?,$4.37 billion,"Net income declined to $4.37 billion in fiscal 2023, primarily due to gaming revenue weakness."
[Easy Q89] What was NVIDIA's net income in fiscal 2024?,$29.8 billion,"NVIDIA achieved record net income of $29.8 billion in fiscal 2024, fueled by AI demand."
[Easy Q90] What was NVIDIA's net income in fiscal 2025?,$31.4 billion,"Net income increased to $31.4 billion in fiscal 2025, supported by Data Center growth."
[Easy Q91] How much revenue did NVIDIA's Gaming segment contribute in 2021?,$7.76 billion,"Gaming revenue was $7.76 billion in 2021, making it the largest segment at the time."
[Easy Q92] What was Data Center revenue in 2021?,$6.7 billion,"Data Center revenue in fiscal 2021 reached $6.7 billion, reflecting growing AI adoption."
[Easy Q93] What was Gaming revenue in 2022?,$12.46 billion,"Gaming revenue rose to $12.46 billion in 2022, boosted by strong GPU demand."
[Easy Q94] What was Data Center revenue in 2022?,$10.6 billion,"Data Center revenue grew to $10.6 billion in 2022, making it the fastest-growing segment."
[Easy Q95] What was Gaming revenue in 2023?,$8.46 billion,Gaming revenue fell to $8.46 billion in 2023 due to lower demand and channel corrections.
[Easy Q96] What was Data Center revenue in 2023?,$15.0 billion,"Data Center revenue increased to $15.0 billion in 2023, offsetting Gaming weakness."
[Easy Q97] What was Gaming revenue in 2024?,$9.0 billion,"Gaming revenue reached $9.0 billion in 2024, recovering modestly from the prior year."
[Easy Q98] What was Data Center revenue in 2024?,$47.5 billion,"Data Center revenue skyrocketed to $47.5 billion in 2024, driven by AI workloads."
[Easy Q99] What was Gaming revenue in 2025?,$10.4 billion,"Gaming revenue increased to $10.4 billion in 2025, reflecting stronger GPU adoption."
[Easy Q100] What was Data Center revenue in 2025?,$65.3 billion,"Data Center revenue in 2025 was $65.3 billion, over 80% of total revenue."
