question,answer,context,difficulty
"List two contract manufacturers used for assembly, testing and packaging.","Hon Hai (Foxconn) and Wistron","Independent subcontractors include Hon Hai Precision (Foxconn), Wistron, and Fabrinet.","easy"
"Which two broad platform areas does the Graphics segment include for professionals?","RTX workstation GPUs and vGPU software","The Graphics segment includes RTX workstation GPUs and vGPU software for cloud-based visual and virtual computing.","easy"
"Which service provides AI training as a managed cloud offering?","DGX Cloud","DGX Cloud is described as a fully managed AI-training-as-a-service platform.","easy"
"What initiative aims to build a digital twin of Earth for climate modeling?","Earth-2","Earth-2 is a digital twin initiative for climate and weather simulation on the company’s AI and Omniverse platforms.","easy"
"Which export control update was published on January 15, 2025?","The “AI Diffusion” IFR","On January 15, 2025, the US government published the AI Diffusion interim final rule with worldwide licensing requirements for certain ECCNs.","easy"
"Name two products subject to the AI Diffusion IFR licensing scope.","B200 and GB200","The licensing requirement will apply to products including A100, H100, B100, B200, GB200, and others meeting ECCN 3A090.a/4A090.a criteria.","easy"
"Which two segments are cited as target markets for Blackwell-based GeForce RTX 50 Series GPUs?","PC gamers and creators","The RTX 50 Series, based on Blackwell, targets PC gamers, developers, and creatives with neural graphics and next-gen DLSS.","easy"
"Which two social channels are listed for investor disclosure monitoring besides blogs?","LinkedIn and X","The company lists social channels like LinkedIn and X among others for disseminating material information.","easy"
"Which two executive officers include the CEO and CFO as of February 21, 2025?","Jensen Huang and Colette Kress","Executive officers include President & CEO Jensen (Jen-Hsun) Huang and EVP & CFO Colette M. Kress.","easy"
"Name one key automotive platform brand referenced for AV solutions.","DRIVE Hyperion","Automotive solutions are delivered under the DRIVE Hyperion brand, covering cloud to car.","easy"
"Which two networking protocols are part of the company’s end-to-end networking platforms?","InfiniBand and Ethernet","Networking offerings include end-to-end InfiniBand and Ethernet platforms with adapters, DPUs, switch chips and systems.","easy"
"About how many developers are stated as using CUDA and related software tools worldwide?","Over 5.9 million","There are over 5.9 million developers using CUDA and other software tools.","easy"
"Roughly what share of supercomputers on the TOP500 list are powered by the company’s solutions?","Over 75%","Including GPUs and networking, the company powers over 75% of global TOP500 systems.","easy"
"Which two principal reportable markets are highlighted for platform acceleration besides Automotive?","Data Center and Gaming","The platforms target Data Center, Gaming, Professional Visualization, and Automotive.","easy"
"What percentage of the workforce was male vs female at the end of fiscal 2025?","78% male; 21% female","The global workforce was reported as 78% male, 21% female, and 1% not declared.","easy"
"Which programming model is central to enabling parallel workloads on GPUs?","CUDA","CUDA is the parallel programming model foundational to GPU acceleration and AI workloads.","easy"
"What was added to the share repurchase authorization on August 26, 2024?","$50 billion","On August 26, 2024, the Board approved an additional $50 billion for share repurchases.","easy"
"Which quarter did production shipments of Blackwell systems begin?","Q4 of fiscal 2025","Production shipments of Blackwell architecture systems began in the fourth quarter of fiscal 2025.","easy"
"If 53% of revenue is generated outside the U.S., what portion is domestic?","47%","International sales make up 53%, implying 47% domestic revenue share.","medium"
"Why might accelerated computing be described as more energy-efficient for certain workloads?","Optimized throughput per watt","GPU-accelerated computing is described as inherently more energy efficient due to throughput and performance per watt advantages for many workloads.","medium"
"What is one stated objective behind the annual cadence of new data center solutions?","Broaden offerings and meet diverse AI opportunities","A faster, annual cadence is intended to complete new solutions each year and expand the variety of data center offerings.","medium"
"How could export controls affect demand forecasting and supply commitments?","They can increase volatility and lead to mismatches","Shifting licensing rules can constrain shipments, alter customer behavior, and increase inventory and purchase obligation risks.","medium"
"What primary factor drove revenue growth in fiscal 2025 within data centers?","Demand for Hopper-based AI systems","Fiscal 2025 growth was propelled by data center compute and networking platforms; Blackwell shipments began later.","medium"
"What is a cited risk of relying on third-party manufacturing for advanced processes?","Lower yields and delivery constraints","Dependence on external foundries can lead to yield issues, limited capacity, and schedule risks that affect costs and deliveries.","medium"
"How could the company’s platform approach create operating leverage across markets?","Shared architecture and software stack","A unified architecture across GPUs, networking and software lets investments serve multiple end markets via domain-specific stacks.","medium"
"What is a potential consequence if customers anticipate new architecture launches?","Demand for current generation may decline","Customers may delay or reduce purchases ahead of transitions, increasing revenue volatility.","medium"
"Why might expanding supplier relationships increase operational complexity?","Integration across planning, execution, and logistics","Onboarding new suppliers adds variability in production planning, execution, logistics, and quality.","medium"
"How does the company position DGX Cloud for enterprises?","Managed platform for AI training and deployment","DGX Cloud is an AI-training-as-a-service platform including infrastructure, software and access to experts.","medium"
"What is a stated reason for repurchasing shares under Rule 10b5-1 plans?","Allowing systematic repurchases under defined conditions","Repurchases may be executed under 10b5-1 plans in compliance with Rule 10b-18, subject to market conditions and legal requirements.","medium"
"What is one implication of the AI Diffusion IFR’s UVEU/NVEU structure?","It favors certain approved firms and raises compliance burdens","The IFR would favor UVEUs and NVEUs, increasing costs and compliance complexity for providers and customers.","medium"
"How could worldwide licensing requirements influence competitive dynamics?","They may tilt demand toward unrestricted alternatives","Licensing rules can push customers to foreign or alternative suppliers not subject to the same controls.","medium"
"Why is networking considered integral to data center–scale computing?","It interconnects thousands of compute nodes as one system","As AI/HPC spans many nodes, high-performance networking makes the data center the unit of computing.","medium"
"What is an example of an industry that uses the company’s platforms for digital twins?","Manufacturing","Industrial enterprises adopt Omniverse to digitalize factories and processes via 3D and simulation technologies.","medium"
"How can extended lead times interact with inaccurate demand estimation?","They amplify shortages or excess","Long lead times and demand errors can produce shortages, excess inventory, or cancellation penalties, impacting margins.","medium"
"What share repurchase activity occurred in the quarter ended January 26, 2025?","55.3 million shares at ~$139 average price","In fiscal Q4, 55.3 million shares were repurchased at average prices near the high-$130s to low-$140s.","medium"
"What rationale supports the claim that AI is central to graphics evolution?","Neural graphics and DLSS transform rendering","RTX 50 Series introduces neural graphics and a transformer-based DLSS generation for large performance gains.","medium"
"Give one reason international operations add risk to the business.","Exposure to changing trade policies and sanctions","Global operations face risks from tariffs, sanctions, currency, political instability, and differing legal regimes.","medium"
"What workforce composition suggests a heavy research focus?","R&D roles represent the majority of employees","With ~27,100 of ~36,000 in R&D, most of the workforce is technical and research-oriented.","medium"
"How could a supplier’s quality change without qualification impact the company?","Field defects and warranty costs","Supplier changes without qualification may raise defect risks, leading to warranty, support, or recall costs.","medium"
"What is a cited benefit of the CUDA-X libraries and frameworks?","Acceleration across domains","CUDA-X provides libraries, APIs, SDKs and frameworks to speed domain-specific applications on GPUs.","medium"
"Why might data center energy and water constraints affect demand?","They limit capacity expansions","Power and water shortages or land constraints can impair customers’ ability to scale data centers.","medium"
"What type of partners are critical in bringing products to market besides OEMs?","ODMs and system integrators","Direct customers include OEMs, ODMs, system integrators and distributors.","medium"
"How can gray market activity complicate demand forecasting?","Resale of prior products disrupts channel signals","Unauthorized resale and aftermarket activity can suppress prices and distort real demand for new products.","medium"
"What specific capacity step began in fiscal 2025 to meet AI demand?","Increased supply and capacity purchases and prepayments","Supply commitments, including prepaids and long-term agreements, were expanded to support AI demand.","medium"
"What kind of cloud providers are listed among direct customers?","CSPs and consumer internet companies","Leading CSPs and consumer internet companies deploy data center-scale accelerated platforms for AI services.","medium"
"How are GeForce NOW and vGPU positioned differently?","Gaming streaming vs enterprise virtual desktops","GeForce NOW streams PC games; vGPU supports graphics-rich virtual desktops and workstations for enterprises.","medium"
"What is one cited risk of frequent product transitions on gross margin?","Inventory provisions for prior parts","Low yields or demand shifts during transitions can drive inventory provisions and reduce gross margin.","medium"
"What is one purpose of AI Enterprise software?","Simplify development and deployment of enterprise AI","AI Enterprise provides enterprise-grade software to build, fine-tune, and deploy AI with manageability and support.","medium"
"What is an example of an export-controlled gaming product mentioned?","RTX 4090","The October 2023 rules mentioned controls on items including RTX 4090 alongside data center accelerators.","medium"
"Which two metrics are highlighted in the five-year stock performance graph besides the company’s own index value?","S&P 500 and Nasdaq 100","The stock performance comparison chart includes the S&P 500 and Nasdaq 100 indices.","medium"
"What was the cumulative value shown for $100 invested in company stock by Jan. 26, 2025?","$2,287.06","The five-year performance graph indicates $100 grew to $2,287.06 assuming dividends reinvested.","medium"
"What are two examples of automotive software components mentioned?","DRIVE OS and mapping/parking services","DRIVE Hyperion includes DRIVE OS and software for autonomous driving, mapping, and parking services.","medium"
"Explain how the annual cadence of new data center architectures could both help and hurt revenue volatility.","Helps by matching fast-moving AI demand; hurts by pulling forward customer pauses and channel inventory flushes ahead of launches","Faster cadence aligns offerings to diverse AI use cases, but transitions can stall current-gen demand, increase inventory risk, and introduce qualification delays.","hard"
"Considering worldwide licensing under the AI Diffusion IFR, why might non-U.S. alternatives see increased investment?","Customers seek supply with fewer export frictions and future-proof compliance","Broad licensing and verification regimes increase perceived risk and cost, pushing some buyers to suppliers outside the U.S. control perimeter.","hard"
"How does making the data center the 'unit of computing' influence product strategy across compute and networking?","Co-design of GPUs, CPUs, DPUs, interconnects, and systems with a full software stack","Large AI/HPC require tightly-coupled compute and high-performance networking so offerings are built data-center-scale with integrated software.","hard"
"Why could increased prepayments and capacity agreements be a double-edged sword for margins?","Secure supply during booms but elevate costs and exposure if demand slows","Prepaids and non-cancellable commitments ensure capacity yet risk inventory provisions, supplier decommitments, and lower ASPs if demand shifts.","hard"
"In what way can export rules that apply to 'parties headquartered in restricted countries' affect subsidiaries elsewhere?","They can capture entities by parent location, limiting shipments to overseas subsidiaries","Rules extend to parties headquartered in certain geographies or with ultimate parents there, restricting global shipments even outside those regions.","hard"
"What operational risks arise from onboarding multiple new suppliers amid rapid AI growth?","Variation in planning and quality, yield disparities, and logistics misalignment","Managing different planning systems, quality regimes, and logistics raises the chance of mismatches and field issues during rapid scaling.","hard"
"How might gray-market GPU resales after crypto shifts affect next-gen gaming launches?","By depressing retail pricing and reducing early demand for new SKUs","Aftermarket supply from prior cycles can weaken price realization and sell-through for new products, complicating launch planning.","hard"
"Why does reliance on CSP co-location and third-party cloud infrastructure heighten service risk for AI offerings?","Outages or insolvency at partners can disrupt availability and raise costs","AI services depend on third-party data centers; interruptions, cost spikes, or failures can impair delivery and margins.","hard"
"Explain how throttling or tracking requirements embedded by regulators could impact product competitiveness.","They may add overhead, reduce performance, and deter customers sensitive to control features","Hardware gating or telemetry mandated by licenses can constrain use-cases and make alternatives more attractive.","hard"
"Why could frequent architecture transitions elevate warranty and recall exposure?","New versions increase risk of undiscovered defects or supplier changes","Rapid cycles heighten the chance defects surface post-shipment, requiring remediation, write-downs, and customer support costs.","hard"
"What is one strategic reason to offer both paid AI Enterprise licenses and integrated platform software?","Monetize software while reinforcing hardware pull-through and ecosystem stickiness","Paid software adds recurring revenue and support while full-stack integration deepens platform adoption.","hard"
"Discuss how water and energy constraints could indirectly affect networking demand.","By limiting cluster scale-outs, they suppress demand not only for GPUs but also for high-speed interconnects","Capacity caps slow deployments, reducing orders across compute and networking for large-scale clusters.","hard"
"How do UVEU/NVEU tiers potentially shape global AI service concentration?","They privilege approved firms, risking market consolidation around a smaller set of providers","Tiering grants benefits to select organizations, potentially concentrating AI infrastructure in fewer verified entities.","hard"
"Why does the company emphasize software stacks like CUDA-X when discussing hardware leadership?","Because software unlocks performance and adoption, differentiating beyond raw silicon","Libraries, SDKs, and frameworks enable domain acceleration and ease deployment, making hardware more valuable and sticky.","hard"
"Explain how extended payment terms to customers and shorter terms from vendors could impact cash flow.","It stretches receivables while compressing payables, increasing working capital needs","Longer customer terms and tighter vendor terms reduce cash on hand despite revenue growth.","hard"
"How can export controls on high-end gaming GPUs spill over into non-China markets?","They can disrupt Hong Kong distribution and introduce compliance burdens globally","Controls affect warehousing/distribution hubs and may prompt broader channel redesigns beyond restricted geographies.","hard"
"Why does a heavy R&D workforce composition align with the platform strategy?","It supports rapid multi-layer innovation across chips, systems, networking, and software","A large technical staff underpins full-stack advances and domain libraries to serve diverse markets.","hard"
"What risks stem from integrating acquisition targets’ systems into the company’s ERP and logistics flows?","Delays, EDI mismatches, and training burdens that can impair shipments and reporting","Integration challenges may impact purchasing, shipping, and financial control cycles.","hard"
"How could a defect in a third-party component propagate broader system costs?","It can constrain finished goods, trigger warranty liabilities, and redirect engineering resources","Component defects affect cost and supply of finished products and shift focus to remediation.","hard"
"What strategic benefit does Omniverse offer to automotive autonomy development?","It enables simulation for synthetic data and validation at data-center scale","A data-center-based simulation solution generates synthetic data and tests autonomous stacks before OTA updates.","hard"
"Describe how non-cancellable purchase orders intended to secure capacity could worsen an overestimate of demand.","They create unavoidable inventory and cancellation penalties","If demand is overestimated, NCNR orders leave excess parts and financial charges that hit margins.","hard"
"Why might some regulators scrutinize the company’s agreements with model developers and CSPs?","Concerns about supply allocation and market power in AI stacks","Regulators in several regions requested information on GPU sales, supply allocation, and partnerships with foundation model firms.","hard"
"What is one channel risk when finished goods availability concentrates near quarter-end?","Credit limits at distributors and integrators can cap recognized revenue","Channel partners may have limited credit headroom, constraining late-quarter sell-in.","hard"
"How can diversified end markets still share a common source of execution risk?","Shared silicon and supply chains create correlated constraints","Multiple platforms depend on the same foundries, memory and packaging ecosystems, linking their risks.","hard"
"What mechanism allows repurchases to proceed during blackout windows under prearranged terms?","Rule 10b5-1 trading plans","Repurchases can be executed via pre-set 10b5-1 plans in compliance with Rule 10b-18.","hard"
"Which list includes two named distributors or channel types that help bring products to market?","System integrators and distributors","Direct customers and channel partners include OEMs, ODMs, system integrators, and distributors.","easy"
"What are two categories included in the Compute & Networking segment beyond GPUs?","Networking and automotive platforms","Compute & Networking includes accelerated computing platforms and AI solutions, networking, and automotive/embedded platforms.","easy"
"Which initiative aims to match 100% of global electricity use with renewables for offices and data centers?","Company-wide renewable electricity matching starting FY2025","The company committed to match 100% of electricity usage for offices and data centers under operational control starting with fiscal 2025.","medium"
"What percentage of Green500 top systems did the company's technology power in Nov. 2024?","38 of the top 50","On the November 2024 Green500 list, the company powered 38 of the top 50 most energy-efficient systems.","easy"
"Name two examples of cloud-delivered platforms that extend access to interactive graphics or AI.","GeForce NOW and vGPU","Interactive graphics and AI can be accessed via cloud platforms such as GeForce NOW for gaming and vGPU for enterprise.","easy"
"Which three processing units are combined in AI servers the company offers?","GPUs, CPUs, and DPUs","Compute solutions include all three major processing units in AI servers: GPUs, CPUs, and DPUs.","easy"
"What was the average price range paid per share for Q4 FY2025 repurchases?","~$137–$143 per share","Quarterly repurchases averaged around the high-$130s to low-$140s per share across the three periods.","medium"
"What was the number of shares repurchased from Jan. 27 to Feb. 21, 2025 under a trading plan?","29 million shares","From January 27, 2025 to February 21, 2025, 29 million shares were repurchased pursuant to a pre-established trading plan.","easy"
"Which two examples of export-controlled data center systems are noted under Blackwell?","GB200 NVL72 and NVL36","Blackwell systems such as GB200 NVL72 and NVL36 are subject to licensing in certain regions.","easy"
"What is one reason demand could be impeded even if the company has supply of its own products?","Shortages of third-party components needed for finished systems","If components necessary for finished products are unavailable from third parties, sales can be impeded.","medium"
"What is one way the company supports developer adoption of its platforms?","Deep Learning Institute training","The Deep Learning Institute provides training on designing, training, and deploying neural networks on accelerated platforms.","easy"
"Name one reason geopolitical tensions around Taiwan matter for the business.","Concentration of suppliers and partners in the region","Geopolitical risks in Taiwan can impact foundries and assembly partners critical to supply continuity.","medium"
"What share of the workforce is described as technical?","82%","The workforce is 82% technical and 51% hold advanced degrees.","easy"
"Which consumer service leverages cloud to let users play PC games on underpowered devices?","GeForce NOW","GeForce NOW provides streamed access to PC games on devices without high local compute.","easy"
"What is one cited benefit of RTX ray tracing?","Real-time, physically-based lighting realism","RTX brings real-time ray tracing for cinematic-quality shadows, reflections, and refractions.","easy"
"What is one reason customers may delay purchasing existing products?","Anticipation of new product introductions","Customers anticipating transitions may defer purchases, affecting current-gen demand.","medium"
"What interface enables accelerated PCs to run generative AI locally for privacy and latency reasons?","RTX AI on PCs","RTX-equipped PCs enable local generative AI workloads for privacy and low latency.","medium"
"List one benefit of DPUs in accelerated data centers.","Offloading networking, storage, and security tasks from CPUs","DPUs accelerate networking, storage and security, freeing CPUs for application workloads.","medium"
"What is a named risk factor related to reliance on third parties for manufacturing?","Insufficient capacity for advanced nodes","A shortage of advanced-node capacity at suppliers could delay deliveries and increase costs.","medium"
"What is one sales channel besides direct enterprise sales?","Add-in board partners","The company sells through board/board-partner channels that build and distribute graphics cards.","easy"
"Give an example of a domain-specific software stack mentioned for robotics or simulation.","Omniverse and Isaac","Domain stacks include Omniverse and Isaac for simulation and robotics.","easy"
"What does DGX refer to in the data center context?","An integrated AI system/server platform","DGX denotes integrated AI systems used for training and inference at scale.","easy"
